x,y,risk
-1963718.7104967523,-94168.32322269399,0
-1962718.7104967523,-94168.32322269399,0
-1961718.7104967523,-94168.32322269399,0
-1960718.7104967523,-94168.32322269399,0
-1959718.7104967523,-94168.32322269399,0
-1958718.7104967523,-94168.32322269399,0
-1957718.7104967523,-94168.32322269399,0
-1956718.7104967523,-94168.32322269399,0
-1955718.7104967523,-94168.32322269399,0
-1954718.7104967523,-94168.32322269399,0
-1953718.7104967523,-94168.32322269399,0
-1952718.7104967523,-94168.32322269399,0
-1951718.7104967523,-94168.32322269399,0
-1950718.7104967523,-94168.32322269399,0
-1949718.7104967523,-94168.32322269399,0
-1948718.7104967523,-94168.32322269399,0
-1947718.7104967523,-94168.32322269399,0
-1946718.7104967523,-94168.32322269399,0
-1945718.7104967523,-94168.32322269399,0
-1944718.7104967523,-94168.32322269399,0
-1943718.7104967523,-94168.32322269399,0
-1942718.7104967523,-94168.32322269399,0
-1941718.7104967523,-94168.32322269399,0
-1940718.7104967523,-94168.32322269399,0
-1939718.7104967523,-94168.32322269399,1
-1938718.7104967523,-94168.32322269399,1
-1937718.7104967523,-94168.32322269399,0
-1936718.7104967523,-94168.32322269399,0
-1935718.7104967523,-94168.32322269399,0
-1934718.7104967523,-94168.32322269399,0
-1933718.7104967523,-94168.32322269399,0
-1932718.7104967523,-94168.32322269399,0
-1931718.7104967523,-94168.32322269399,0
-1930718.7104967523,-94168.32322269399,0
-1929718.7104967523,-94168.32322269399,0
-1928718.7104967523,-94168.32322269399,0
-1927718.7104967523,-94168.32322269399,0
-1926718.7104967523,-94168.32322269399,0
-1925718.7104967523,-94168.32322269399,0
-1924718.7104967523,-94168.32322269399,0
-1923718.7104967523,-94168.32322269399,0
-1922718.7104967523,-94168.32322269399,0
-1921718.7104967523,-94168.32322269399,0
-1920718.7104967523,-94168.32322269399,0
-1919718.7104967523,-94168.32322269399,0
-1918718.7104967523,-94168.32322269399,0
-1917718.7104967523,-94168.32322269399,0
-1916718.7104967523,-94168.32322269399,0
-1915718.7104967523,-94168.32322269399,0
-1914718.7104967523,-94168.32322269399,0
-1913718.7104967523,-94168.32322269399,0
-1912718.7104967523,-94168.32322269399,0
-1911718.7104967523,-94168.32322269399,0
-1910718.7104967523,-94168.32322269399,0
-1909718.7104967523,-94168.32322269399,0
-1908718.7104967523,-94168.32322269399,0
-1907718.7104967523,-94168.32322269399,0
-1906718.7104967523,-94168.32322269399,1
-1905718.7104967523,-94168.32322269399,0
-1904718.7104967523,-94168.32322269399,0
-1903718.7104967523,-94168.32322269399,0
-1902718.7104967523,-94168.32322269399,0
-1901718.7104967523,-94168.32322269399,1
-1900718.7104967523,-94168.32322269399,0
-1899718.7104967523,-94168.32322269399,1
-1898718.7104967523,-94168.32322269399,0
-1897718.7104967523,-94168.32322269399,0
-1896718.7104967523,-94168.32322269399,0
-1895718.7104967523,-94168.32322269399,1
-1894718.7104967523,-94168.32322269399,0
-1893718.7104967523,-94168.32322269399,1
-1892718.7104967523,-94168.32322269399,0
-1891718.7104967523,-94168.32322269399,1
-1890718.7104967523,-94168.32322269399,0
-1889718.7104967523,-94168.32322269399,0
-1888718.7104967523,-94168.32322269399,0
-1887718.7104967523,-94168.32322269399,1
-1886718.7104967523,-94168.32322269399,4
-1885718.7104967523,-94168.32322269399,6
-1884718.7104967523,-94168.32322269399,9
-1883718.7104967523,-94168.32322269399,1
-1882718.7104967523,-94168.32322269399,1
-1881718.7104967523,-94168.32322269399,9
-1880718.7104967523,-94168.32322269399,18
-1879718.7104967523,-94168.32322269399,18
-1878718.7104967523,-94168.32322269399,8
-1877718.7104967523,-94168.32322269399,6
-1876718.7104967523,-94168.32322269399,7
-1875718.7104967523,-94168.32322269399,8
-1874718.7104967523,-94168.32322269399,4
-1873718.7104967523,-94168.32322269399,2
-1872718.7104967523,-94168.32322269399,3
-1871718.7104967523,-94168.32322269399,0
-1870718.7104967523,-94168.32322269399,0
-1869718.7104967523,-94168.32322269399,0
-1868718.7104967523,-94168.32322269399,1
-1867718.7104967523,-94168.32322269399,1
-1866718.7104967523,-94168.32322269399,4
-1865718.7104967523,-94168.32322269399,3
